Parameter Name,Count,Mean_99pct,Std_99pct,Min_99pct,Max_99pct
Dodecene,7,1.1542857142857144,0.6693493642549991,0.65,2.52
Isovaleraldehyde,9,1.1333333333333335,2.2960618458569444,0.04,7.0
2-Methylheptane,38,1.0984736842105263,0.8189457529749998,0.1511,3.64
Benzo[a]anthracene (TSP) STP,29,1.074,1.3623542648140912,0.008,5.62
trans-2-Butene,39,1.065276923076923,1.7437746675805184,0.07,9.9
"1,2,3-Trimethylbenzene",39,1.05255641025641,1.2996266218448387,0.09,7.11
1-Butene,39,1.0502641025641024,1.0070090715859568,0.17,4.21
Tolualdehydes,10,1.05,0.6363961030678927,0.1,2.2
Benzo[b]fluoranthene (TSP) STP,30,1.0435333333333332,1.290980160464383,0.027,6.08
Ethylene dichloride,38,1.0401052631578949,3.9156710224670004,0.032,17.7
Cobalt PM10 LC,16,1.0253625,2.7214291678883233,0.0478,11.2
3-Methylheptane,35,0.9934085714285714,0.7598234796441128,0.08,3.25
EC PM2.5 LC TOR,291,0.9804226804123719,1.0213744678049403,0.05,8.015
OC2 PM2.5 LC,291,0.9712577319587624,1.5056221210105203,0.02,13.545
Benzo[a]pyrene (TSP) STP,29,0.9362413793103448,1.1648412109802906,0.021,3.96
p-Ethyltoluene,52,0.9130019230769231,2.0364838518917447,0.09,14.5
"1,3-Butadiene",106,0.8941726415094342,2.8834400454197233,0.04,28.4
Ethyl acetate,16,0.87675,0.989792402476398,0.2,4.3
"2,2-Dimethylbutane",35,0.8483228571428573,0.8400710159356326,0.06,4.33
Selenium PM10 LC,14,0.841857142857143,0.5248633312430165,0.336,1.94
Naphthalene,17,0.8276470588235294,1.119115328126221,0.11,4.34
Trans-Crotonaldehyde,5,0.82,0.4147288270665544,0.4,1.4
1-Nonene,7,0.8185714285714286,1.0080249430020496,0.22,3.08
Propionaldehyde,73,0.8054794520547945,0.5027398297106302,0.1,2.7
trans-2-Pentene,32,0.8024687500000001,0.682788877509,0.0949,2.54
Net radiation,3,0.7999999999999999,0.10000000000000003,0.7,0.9
Benzaldehyde,63,0.784920634920635,1.9257942416939369,0.1,15.5
trans-2-Hexene,8,0.7800000000000001,0.7382605037712444,0.21,2.45
Black Carbon at 880 nm (TSP),1,0.78,,0.78,0.78
n-Undecane,31,0.7782419354838709,0.6707544129680616,0.11,2.68
o-Ethyltoluene,31,0.7723258064516129,0.9966736182481344,0.12,4.71
Methyl Butyl Ketone,16,0.771625,0.6679449952403765,0.2,2.2
"1,3,5-Trimethylbenzene",95,0.7550347368421053,2.0065045975934104,0.05,19.2
Ammonium (TSP) LC,5,0.752,0.36833205127982005,0.504,1.396
OP PM2.5 LC TOR,291,0.7333161512027488,1.5396992170596506,0.025,14.272
Chloride PM2.5 LC,290,0.7308912068965518,1.3481529780928991,0.00402,14.59469
Ethylene oxide,48,0.7270833333333333,0.9377995029863359,0.05,4.0
Carbon monoxide,425,0.707338823529412,0.4036911917841214,0.1,4.084
EC CSN PM2.5 LC TOT,1,0.7,,0.7,0.7
Benzo[e]pyrene (TSP) STP,30,0.6965666666666667,0.8539173295741963,0.024,4.16
Chloromethane,75,0.6957333333333334,0.2908569506918577,0.46,2.31
OC4 CSN_Rev Unadjusted PM2.5 LC,142,0.6794999999999999,0.3188734547463053,0.24,2.784
1-Pentene,34,0.6654,0.7807568860737092,0.05,4.72
"Benzo[g,h,i]perylene (TSP) STP",30,0.6635666666666666,0.7151056195601015,0.044,3.54
Potassium Ion PM2.5 LC,143,0.633076923076923,1.8404612215761784,0.03,15.81
"Indeno[1,2,3-cd]pyrene (TSP) STP",30,0.6301666666666667,0.7098485177563727,0.022,3.28
Nitric acid (HNO3) LC,5,0.6186,0.17513794563143648,0.318,0.752
Sulfur PM2.5 LC,297,0.5998148148148148,0.6929049816270365,0.057,6.788
1-Hexene,23,0.582904347826087,1.221546451867937,0.0735,5.9782
Sodium Ion Pm2.5 LC,143,0.5634265734265734,0.7973928511136715,0.04,8.21
Sample Flow Rate- CV,165,0.5618181818181817,2.556924427455021,0.1,16.7
Cobalt PM10 STP,12,0.5566666666666665,1.0426655816471142,0.01,3.78
OC4 PM2.5 LC,291,0.5565292096219933,0.45561271553551824,0.054,3.611
2-Methyl-2-butene,11,0.5545454545454546,0.752919167459079,0.05,2.65
4-Methyl-1-pentene,7,0.5542857142857144,0.8739156546421236,0.06,2.44
n-Propylbenzene,37,0.5444756756756757,0.44852375968615427,0.09,2.16
Carbon disulfide,42,0.5435714285714285,0.8948165677363549,0.1,4.15
Dichlorodifluoromethane,75,0.5426666666666667,0.08554014915299789,0.4,1.11
OC1 CSN_Rev Unadjusted PM2.5 LC,142,0.5322676056338029,0.978380547259204,0.029,7.858
1-Heptene,6,0.5266666666666667,0.309106238479049,0.2,1.09
Benzo[k]fluoranthene (TSP) STP,29,0.5221379310344828,0.6088574618636082,0.008,2.72
Methyl isobutyl ketone,51,0.49098039215686273,0.4989038179928504,0.1,2.5
Hexanaldehyde,63,0.4904761904761905,0.8687614999404621,0.1,6.6
cis-2-Butene,41,0.4764317073170732,0.4461828775508,0.04,1.65
Optical EC PM2.5 LC TOT,1,0.476,,0.476,0.476
Silicon PM2.5 LC,297,0.4676161616161618,0.8958887823153386,0.017,8.487
Benzyl chloride,4,0.46749999999999997,0.5008908730119432,0.1,1.2
Acrylonitrile,39,0.4625641025641025,0.5458538359821338,0.1,2.2
Chlorine PM2.5 LC,293,0.45634812286689425,0.8365667208271178,0.001,7.79
Sample Flow Rate CV - Quartz Filter,137,0.4416058394160587,0.5117217671982246,0.1,2.0
Potassium PM2.5 LC,297,0.43673737373737387,1.5241350089112924,0.009,14.406
1-Octene,7,0.42714285714285716,0.20677800380394154,0.19,0.8
Valeraldehyde,55,0.4254545454545455,0.32501748204729486,0.1,1.7
Isobutene,6,0.4033333333333333,0.10576703960434303,0.29,0.53
"1,2,4-Trichlorobenzene",59,0.39915254237288156,1.2254109629237737,0.01,7.09
Butyraldehyde,63,0.39895238095238095,0.2848432182555434,0.047,1.568
cis-2-Pentene,32,0.39680312500000003,0.3091000782546263,0.0628,1.09
Isopropylbenzene,44,0.37897272727272724,0.4495137048709501,0.0293,2.47
p-Diethylbenzene,25,0.367128,0.3513843248733026,0.06,1.75
Tetrachloroethylene,48,0.36083333333333334,1.4034377751266647,0.02,9.8
Cadmium PM10 STP,15,0.34400000000000003,0.5070052127091849,0.02,2.1
Bromomethane,14,0.33714285714285713,1.055370358408172,0.01,4.0
Sodium PM2.5 LC,291,0.33258762886597953,0.31109270441940456,0.007,1.929
Cadmium PM10 LC,22,0.3208772727272727,0.22040455213477692,0.0151,0.84
Perylene (TSP) STP,20,0.313285,0.31559736720101217,0.0158,0.983
"1,4-Dichlorobenzene",47,0.3074468085106382,0.42678509043019064,0.1,2.73
"Furan, tetrahydro-",17,0.30000000000000004,0.15260242462031853,0.1,0.59
OC1 PM2.5 LC,291,0.292171821305842,0.606128003463405,0.001,7.839
m-Diethylbenzene,23,0.2874826086956522,0.3786569335429606,0.0267,1.74
Trichlorofluoromethane,86,0.28290697674418613,0.14348491438696526,0.2,1.3
Chlorobenzene,9,0.2666666666666667,0.2956349099818897,0.04,0.8
Mannosan PM2.5 LC,6,0.26666666666666666,0.35460776453240084,0.05,0.98
2-Methyl-1-butene,7,0.26571428571428574,0.08202786982831768,0.14,0.39
Calcium (TSP) LC,5,0.262,0.13461054936371072,0.16,0.45
1-Undecene,7,0.26142857142857145,0.16984586850323752,0.05,0.53
Manganese (TSP) LC,52,0.25327442307692305,0.5347100092992076,0.01112,3.4308
"Benzene, 1-ethenyl-4-methyl",3,0.23333333333333336,0.1527525231651947,0.1,0.4
EC2 CSN_Rev Unadjusted PM2.5 LC,142,0.22716485915492957,0.08945116230616171,0.12248,0.97045
"1,1-Dichloroethylene",7,0.22428571428571425,0.1395059309201754,0.05,0.36
Iron PM2.5 LC,297,0.2218013468013468,0.41582425991434785,0.006,3.619
Aluminum PM2.5 LC,297,0.2167407407407407,0.4920249219031224,0.008,6.328
Calcium PM2.5 LC,297,0.2125622895622895,0.35602979252825623,0.007,3.549
"Dibenzo[a,h]anthracene (TSP) STP",27,0.2027037037037037,0.2033927263684745,0.009,0.822
Hexachlorobutadiene,33,0.20030303030303026,0.6359613040924976,0.01,3.59
"1,1,2-Trichloroethane",11,0.20000000000000007,0.36619666847201104,0.01,1.3
"cis-1,3-Dichloropropene",15,0.19266666666666662,0.1356711710963927,0.07,0.57
"2,5-Dimethylbenzaldehyde",6,0.19000000000000003,0.25706030420895404,0.03,0.7
Rain 24hr total,3,0.18666666666666668,0.025166114784235836,0.16,0.21
Coronene (TSP) STP,28,0.1862857142857143,0.15314235864248013,0.024,0.748
Crotonaldehyde,23,0.1826086956521739,0.10292174393923799,0.1,0.4
"1,1,2-Trichloro-1,2,2-trifluoroethane",50,0.17620000000000005,0.058445509245966955,0.1,0.5
"trans-1,3-Dichloropropene",17,0.17235294117647057,0.11300052056100815,0.03,0.45
Zinc (TSP) LC,14,0.1718285714285714,0.2630401912214219,0.026,1.0
Trichloroethylene,30,0.16533333333333333,0.35108436291731576,0.01,1.9
3-Methyl-1-butene,8,0.16125,0.12517844405944203,0.07,0.45
Ethylene dibromide,4,0.16,0.1542724862054151,0.02,0.35
EC2 PM2.5 LC,291,0.15800000000000003,0.10020953908754364,0.033,0.965
Lead (TSP) LC,128,0.15317187499999999,0.3257998300820553,0.001,1.976
Chloroethane,44,0.15159090909090908,0.2992389041817566,0.01,1.25
Tridecene,5,0.14600000000000002,0.04560701700396552,0.07,0.19
Beryllium (TSP) LC,46,0.1457026086956521,0.35336393307394565,0.00991,2.3
"1,3-Dichlorobenzene",45,0.14244444444444437,0.38702921874403257,0.01,2.36
Manganese (TSP) STP,14,0.12950571428571428,0.20104876751346004,0.00748,0.546
"1,2-Dichlorobenzene",49,0.12775510204081628,0.2978972509252872,0.01,1.97
Sodium Ion (TSP) LC,5,0.1206,0.04702446171940727,0.07,0.18
Galactosan PM2.5 LC,6,0.12,0.11454256850621083,0.02,0.34
Light Absorption Coeffiecient,291,0.11863143539518897,0.14657399480711422,0.0048,1.438164
cis-2-Hexene,7,0.11571428571428573,0.07114706432386905,0.06,0.27
2-Methyl-1-pentene,8,0.1146375,0.04559504789839729,0.07,0.21
Heptanal,3,0.11333333333333334,0.02886751345948129,0.08,0.13
Chloroform,42,0.10857142857142858,0.17578494939003095,0.02,0.9
Freon 113,21,0.10666666666666672,0.01460593486680443,0.1,0.15
Carbon tetrachloride,90,0.10144444444444445,0.03945018508981262,0.06,0.4
Butyl benzene,6,0.10000000000000002,0.0,0.1,0.1
Methyl tert-butyl ether,6,0.10000000000000002,0.0,0.1,0.1
p-Tolualdehyde,1,0.1,,0.1,0.1
"1,4-Dioxane",8,0.09999999999999999,0.0,0.1,0.1
"trans-1,2-Dichloroethylene",38,0.09736842105263153,0.4245040617417899,0.01,2.64
n-Tridecane,5,0.096,0.025099800796022267,0.06,0.12
"1,1-Dichloroethane",5,0.096,0.09710818709048172,0.01,0.2
Rain/melt precipitation,131,0.09297709923664116,0.08102890895788652,0.01,0.51
Magnesium PM2.5 LC,291,0.08669759450171821,0.15265771255030053,0.004,1.501
2-2-3-Trimethylpentane,3,0.08,0.026457513110645904,0.05,0.1
Cyclopentene,8,0.08,0.0578174466995659,0.03,0.2
Zinc (TSP) STP,9,0.07411111111111111,0.0318215510481672,0.029,0.136
Beryllium PM10 LC,19,0.07317473684210528,0.05269028746346385,0.00506,0.2
"1,1,2,2-Tetrachloroethane",4,0.07,0.0496655480858378,0.01,0.12
Chloride (TSP) LC,5,0.06960000000000001,0.07476830879456885,0.02,0.201
Ozone,4828,0.06791652858326389,0.010471694373767992,0.008,0.403
Titanium (TSP) STP,9,0.06766666666666668,0.03942397747564292,0.02,0.126
"1,2-Dichloropropane",7,0.060000000000000005,0.032659863237109045,0.02,0.1
"cis-1,2-Dichloroethene",9,0.060000000000000005,0.03937003937005906,0.01,0.1
Propyne,3,0.06,0.04,0.02,0.1
Methyl chloroform,1,0.06,,0.06,0.06
Zinc PM2.5 LC,297,0.047932659932659896,0.17576407187906448,0.001,2.063
Copper (TSP) STP,9,0.042666666666666665,0.01994367067517913,0.012,0.082
Beryllium PM10 STP,12,0.04250000000000001,0.028959218974902688,0.02,0.1
Freon 114,34,0.0411764705882353,0.01821832342390201,0.01,0.1
Bromodichloromethane,5,0.04,0.039370039370059055,0.01,0.1
Tin PM2.5 LC,143,0.037013986013986006,0.07858242161013163,0.007,0.835
m & p-Tolualdehyde,2,0.035,0.007071067811865477,0.03,0.04
Barium PM2.5 LC,143,0.034650349650349625,0.09417284518906525,0.005,0.915
Potassium TSP LC,5,0.030199999999999998,0.005974947698515863,0.022,0.037
Magnesium (TSP) LC,5,0.03,0.007071067811865477,0.02,0.04
Copper PM2.5 LC,242,0.02409090909090909,0.0868520466557856,0.001,0.787
Ethyl acrylate,10,0.024,0.005163977794943222,0.02,0.03
Strontium (TSP) STP,9,0.02371444444444444,0.011371900798801305,0.00793,0.0448
EC3 CSN_Rev Unadjusted PM2.5 LC,142,0.02347830985915493,0.019820227506256335,0.00648,0.19131
